queenly-majesty	じょおうのいげん	Opposing Pokémon cannot use priority attacks.
receiver	レシーバー	When an ally faints, this Pokémon gains its Ability.
emergency-exit	ききかいひ	This Pokémon automatically switches out when its HP drops below half.
disguise	ばけのかわ	Prevents the first instance of battle damage.
berserk	ぎゃくじょう	Raises this Pokémon's Special Attack by one stage every time its HP drops below half.
grassy-surge	グラスメイカー	When this Pokémon enters battle, it changes the terrain to Grassy Terrain.
libero	リベロ	Libero changes the Pokémon's type to that of its previously used attack.
mirror-armor	ミラーアーマー	Reflects any stat-lowering effects.
run-away	にげあし	Ensures success fleeing from wild battles.
stakeout	はりこみ	This Pokémon's moves have double power against Pokémon that switched in this turn.
ripen	じゅくせい	Doubles the effect of berries.
hustle	はりきり	Strengthens physical moves to inflict 1.5× damage, but decreases their accuracy to 0.8×.
sand-spit	すなはき	Creates a sandstorm when hit by an attack.
punk-rock	パンクロック	Boosts sound-based moves and halves damage from the same moves.
battle-armor	カブトアーマー	Protects against critical hits.
steely-spirit	はがねのせいしん	Powers up ally Pokémon's Steel-type moves.
screen-cleaner	バリアフリー	Nullifies effects of Light Screen, Reflect, and Aurora Veil.
wandering-spirit	さまようたましい	Swaps abilities with opponents on contact.
electric-surge	エレキメイカー	When this Pokémon enters battle, it changes the terrain to Electric Terrain.
psychic-surge	サイコメイカー	When this Pokémon enters battle, it changes the terrain to Psychic Terrain.
hunger-switch	はらぺこスイッチ	Causes Morpeko to change its form each turn, alternating between Full Belly Mode and Hangry Mode
seed-sower	こぼれダネ	Turns the ground into Grassy Terrain when the Pokémon is hit by an attack.
purifying-salt	きよめのしお	Protects from status conditions and halves damage from Ghost-type moves.
electromorphosis	でんきにかえる	When hit by an attack, the power of the next Electric-type move it uses is doubled.
guard-dog	ばんけん	Boosts Attack if intimidated, and prevents being forced to switch out.
opportunist	びんじょう	Copies stat boosts by the opponent.
zero-to-hero	マイティチェンジ	Transforms into its Hero Form when switching out.
earth-eater	どしょく	Restores HP when hit by a Ground-type move.
toxic-debris	どくげしょう	Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves.
fluffy	もふもふ	Damage from contact moves is halved. Damage from Fire moves is doubled.
vital-spirit	やるき	Prevents sleep.
armor-tail	テイルアーマー	Prevents the opponent from using any moves that have priority, such as Quick Attack.
supreme-overlord	そうだいしょう	Attack and Special Attack are boosted for each party Pokémon that has been defeated.
thermal-exchange	ねつこうかん	Raises Attack when hit by a Fire-type move. Cannot be burned.
good-as-gold	おうごんのからだ	Gives immunity to status moves.
hospitality	おもてなし	When a Pokémon with Hospitality enters a battle, it restores HP for an ally by 25%.
heatproof	たいねつ	Halves damage from Fire moves and burns.
stalwart	すじがねいり	Ignores moves and abilities that draw in moves.
supersweet-syrup	かんろなミツ	Once per battle, when a Pokémon with Supersweet Syrup enters the battle, it lowers the evasion stat of all adjacent opponents by one stage. 
innards-out	とびだすなかみ	When this Pokémon faints from an opponent's move, that opponent takes damage equal to the HP this Pokémon had remaining.
shadow-tag	かげふみ	Prevents opponents from fleeing or switching out.
parental-bond	おやこあい	Lets the bearer hit twice with damaging moves. The second hit has half power.
aerilate	スカイスキン	Turns the bearer's Normal moves into Flying moves and strengthens them to 1.3× their power.
mega-sol	メガソーラー	The Pokémon can use its moves as if the weather were harsh sunlight.
dragonize	ドラゴンスキン	The Pokémon's Normal-type moves become Dragon-type moves and their power is boosted by 20%.
aura-guard		A Pokémon with Aura Guard takes half damage from moves that make contact.
piercing-drill	かんつうドリル	When the Pokémon uses contact moves, it can hit even targets that are protecting themselves.
eelevate		The Pokémon floats off the ground, making it immune to Ground-type moves, as well as the Spikes, Toxic Spikes, and Sticky Web statuses. When the Pokémon knocks out a target with an attack, its highest stat is boosted by 1 stage.
unseen-fist	ふかしのこぶし	Contact moves can strike through Protect/Detect.
fire-mane		Boosts the power of the Pokémon's Fire-type moves by 50%.
fairy-aura	フェアリーオーラ	Strengthens Fairy moves to 1.33× their power for all friendly and opposing Pokémon.
spicy-spray	とびだすハバネロ	When the Pokémon takes damage from a move, it burns the attacker.
